imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,budget_,usa_gross_income_,worlwide_gross_income_,usa_revenue,worlwide_revenue,Main Actor,Main Director,Main Writer,Main genre,Main Language,Main Country,movie_ID
tt0088814,Taron e la pentola magica,The Black Cauldron,1985,1986-03-13,"Animation, Action, Adventure",80,"USA, UK","English, Portuguese","Ted Berman, Richard Rich","Lloyd Alexander, David Jonas",Walt Disney Pictures,"Grant Bardsley, Susan Sheridan, Freddie Jones, Nigel Hawthorne, Arthur Malet, John Byner, Lindsay Rich, Brandon Call, Gregory Levinson, Eda Reiss Merin, Adele Malis-Morey, Billie Hayes, Phil Fondacaro, Peter Renaday, James Almanzar",A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,6.4,30569,$ 44000000,$ 21288692,$ 21288692,59.0,154.0,75.0,44000000.0,21288692.0,21288692.0,-22711308,-22711308,Grant Bardsley,Ted Berman,Lloyd Alexander,Animation,English,USA,737
tt0091059,Navigator,Flight of the Navigator,1986,1987-01-22,"Adventure, Comedy, Family",90,USA,English,Randal Kleiser,"Mark H. Baker, Michael Burton",Walt Disney Pictures,"Joey Cramer, Paul Reubens, Cliff De Young, Veronica Cartwright, Sarah Jessica Parker, Albie Whitaker, Matt Adler, Howard Hesseman, Robert Small, Jonathan Sanger, Iris Acker, Richard Liberty, Raymond Forchion, Cynthia Caquelin, Ted Bartsch","In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship.",6.9,43387,$ 9000000,$ 18564613,$ 18564613,64.0,127.0,85.0,9000000.0,18564613.0,18564613.0,9564613,9564613,Joey Cramer,Randal Kleiser,Mark H. Baker,Adventure,English,USA,861
tt0091149,Basil l'investigatopo,The Great Mouse Detective,1986,1987-04-16,"Animation, Adventure, Family",74,USA,"English, French, German, Italian","Ron Clements, Burny Mattinson","Peter Young, Vance Gerry",Walt Disney Pictures,"Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek, Candy Candido, Diana Chesney, Eve Brenner, Alan Young, Basil Rathbone, Laurie Main, Shani Wallis, Ellen Fitzhugh, Walker Edmiston, Wayne Allwine, Tony Anselmo","Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.",7.2,43815,$ 14000000,$ 38625550,$ 38625550,73.0,125.0,72.0,14000000.0,38625550.0,38625550.0,24625550,24625550,Vincent Price,Ron Clements,Peter Young,Animation,English,USA,866
tt0097523,"Tesoro, mi si sono ristretti i ragazzi","Honey, I Shrunk the Kids",1989,1989,"Adventure, Comedy, Family",93,"USA, Mexico",English,Joe Johnston,"Stuart Gordon, Brian Yuzna",Walt Disney Pictures,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland, Thomas Wilson Brown, Jared Rushton, Amy O'Neill, Robert Oliveri, Carl Steven, Mark L. Taylor, Kimmy Robertson, Lou Cutell, Laura Waterbury, Trevor Galtress, Martin Aylett",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,6.4,139632,$ 18000000,$ 130724172,$ 222724172,63.0,95.0,42.0,18000000.0,130724172.0,222724172.0,112724172,204724172,Rick Moranis,Joe Johnston,Stuart Gordon,Adventure,English,USA,1229
tt0097757,La sirenetta,The Little Mermaid,1989,1990-12-06,"Animation, Family, Fantasy",83,USA,"English, French","Ron Clements, John Musker","John Musker, Ron Clements",Walt Disney Pictures,"Rene Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll, Paddi Edwards, Buddy Hackett, Jason Marin, Kenneth Mars, Edie McClurg, Will Ryan, Ben Wright, Samuel E. Wright, Hamilton Camp, Debbie Shapiro Gravitte, Robert Weil",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,7.6,231653,$ 40000000,$ 111543479,$ 274191153,88.0,281.0,149.0,40000000.0,111543479.0,274191153.0,71543479,234191153,Rene Auberjonois,Ron Clements,John Musker,Animation,English,USA,1243
tt0101414,La bella e la bestia,Beauty and the Beast,1991,1992-12-04,"Animation, Family, Fantasy",84,USA,"English, French","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman",Walt Disney Pictures,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury, Paige O'Hara, Jerry Orbach, Bradley Pierce, David Ogden Stiers, Richard White, Jo Anne Worley, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Alec Murphy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8.0,410499,$ 25000000,$ 218967620,$ 440118382,95.0,437.0,212.0,25000000.0,218967620.0,440118382.0,193967620,415118382,Robby Benson,Gary Trousdale,Linda Woolverton,Animation,English,USA,1419
tt0102803,Le avventure di Rocketeer,The Rocketeer,1991,1991-06-21,"Action, Adventure, Family",108,USA,"English, German",Joe Johnston,"Dave Stevens, Danny Bilson",Walt Disney Pictures,"Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton, Paul Sorvino, Terry O'Quinn, Ed Lauter, James Handy, Robert Miranda, John Lavachielli, Jon Polito, Eddie Jones, William Sanderson, Don Pugsley, Nada Despotovich",A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,6.5,52018,$ 35000000,$ 46704056,$ 46704056,61.0,161.0,105.0,35000000.0,46704056.0,46704056.0,11704056,11704056,Billy Campbell,Joe Johnston,Dave Stevens,Action,English,USA,1505
tt0103247,Zanna Bianca - Un piccolo grande lupo,White Fang,1991,1991,"Adventure, Drama",107,USA,English,Randal Kleiser,"Jack London, Jeanne Rosenberg",Walt Disney Pictures,"Jed, Klaus Maria Brandauer, Ethan Hawke, Seymour Cassel, Susan Hogan, James Remar, Bill Moseley, Clint Youngreen, Pius Savage, Aaron Hotch, Charles Jimmie Sr., Clifford Fossman, Irvin Sogge, Tom Fallon, Dick Mackey",Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,6.7,19198,$ 14000000,$ 34793160,$ 34793160,62.0,37.0,13.0,14000000.0,34793160.0,34793160.0,20793160,20793160,Jed,Randal Kleiser,Jack London,Adventure,English,USA,1529
tt0103639,Aladdin,Aladdin,1992,1993-12-03,"Animation, Adventure, Comedy",90,USA,English,"Ron Clements, John Musker","Ron Clements, John Musker",Walt Disney Pictures,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale, Charlie Adler, Jack Angel, Corey Burton, Philip L. Clarke, Jim Cummings, Jennifer Darling, Debi Derryberry, Bruce Gooch",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8.0,363761,$ 28000000,$ 217350219,$ 504050219,86.0,333.0,155.0,28000000.0,217350219.0,504050219.0,189350219,476050219,Scott Weinger,Ron Clements,Ron Clements,Animation,English,USA,1532
tt0104940,Festa in casa Muppet,The Muppet Christmas Carol,1992,1993-12-23,"Comedy, Drama, Family",85,"USA, UK",English,Brian Henson,"Charles Dickens, Jerry Juhl",Walt Disney Pictures,"Michael Caine, Dave Goelz, The Great Gonzo, Steve Whitmire, Jerry Nelson, Rizzo The Rat, Frank Oz, David Rudman, Don Austen, Jessica Fox, Robert Tygner, Steven Mackintosh, Meredith Braun, Robin Weaver, Raymond Coulthard",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,7.7,46386,$ 12000000,$ 27281507,$ 32319318,64.0,179.0,80.0,12000000.0,27281507.0,32319318.0,15281507,20319318,Michael Caine,Brian Henson,Charles Dickens,Comedy,English,USA,1613
