imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,budget_,usa_gross_income_,worlwide_gross_income_,usa_revenue,worlwide_revenue,Main Actor,Main Director,Main Writer,Main genre,Main Language,Main Country,movie_ID
tt0034167,Il sergente York,Sergeant York,1941,1948-12-01,"Biography, Drama, History",134,USA,"English, French, German",Howard Hawks,"Abem Finkel, Harry Chandlee",Warner Bros.,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias, Stanley Ridges, Margaret Wycherly, Ward Bond, Noah Beery Jr., June Lockhart, Dickie Moore, Clem Bevans, Howard Da Silva, Charles Trowbridge, Harvey Stephens, David Bruce",A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.,7.7,15009,$ 1400000,$ 16361885,$ 16364924,,115.0,42.0,1400000.0,16361885.0,16364924.0,14961885,14964924,Gary Cooper,Howard Hawks,Abem Finkel,Biography,English,USA,15
tt0034583,Casablanca,Casablanca,1942,1946-11-21,"Drama, Romance, War",102,USA,"English, French, German, Italian",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,509953,$ 950000,$ 4108411,$ 4374761,100.0,1303.0,196.0,950000.0,4108411.0,4374761.0,3158411,3424761,Humphrey Bogart,Michael Curtiz,Julius J. Epstein,Drama,English,USA,16
tt0040897,Il tesoro della Sierra Madre,The Treasure of the Sierra Madre,1948,1948-11-20,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",John Huston,"John Huston, B. Traven",Warner Bros.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,8.2,111478,$ 3000000,$ 215295,$ 215295,98.0,273.0,98.0,3000000.0,215295.0,215295.0,-2784705,-2784705,Humphrey Bogart,John Huston,John Huston,Adventure,English,USA,24
tt0046912,Il delitto perfetto,Dial M for Murder,1954,1954-11-19,"Crime, Thriller",105,USA,English,Alfred Hitchcock,"Frederick Knott, Frederick Knott",Warner Bros.,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson, Leo Britt, Patrick Allen, George Leigh, George Alderson, Robin Hughes",A tennis player tries to arrange his wife's murder after learning of her affair.,8.2,153300,$ 1400000,$ 12562,$ 18816,75.0,356.0,107.0,1400000.0,12562.0,18816.0,-1387438,-1381184,Ray Milland,Alfred Hitchcock,Frederick Knott,Crime,English,USA,41
tt0048545,Gioventù bruciata,Rebel Without a Cause,1955,1956-02-24,Drama,111,USA,English,Nicholas Ray,"Stewart Stern, Irving Shulman",Warner Bros.,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt, Steffi Sidney, Marietta Canty, Virginia Brissac, Beverly Long, Ian Wolfe","A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",7.7,81625,$ 1500000,$ 199963,$ 199963,89.0,335.0,165.0,1500000.0,199963.0,199963.0,-1300037,-1300037,James Dean,Nicholas Ray,Stewart Stern,Drama,English,USA,50
tt0058385,My Fair Lady,My Fair Lady,1964,1965-03-23,"Drama, Family, Musical",170,USA,English,George Cukor,"Alan Jay Lerner, George Bernard Shaw",Warner Bros.,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,7.8,84812,$ 17000000,$ 72560711,$ 72661442,95.0,326.0,94.0,17000000.0,72560711.0,72661442.0,55560711,55661442,Audrey Hepburn,George Cukor,Alan Jay Lerner,Drama,English,USA,90
tt0061184,Chi ha paura di Virginia Woolf?,Who's Afraid of Virginia Woolf?,1966,1966-10-27,Drama,131,USA,"English, Latin, Spanish",Mike Nichols,Ernest Lehman,Warner Bros.,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis","A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",8.0,67817,$ 7500000,$ 28000000,$ 28005068,75.0,291.0,97.0,7500000.0,28000000.0,28005068.0,20500000,20505068,Elizabeth Taylor,Mike Nichols,Ernest Lehman,Drama,English,USA,106
tt0066921,Arancia meccanica,A Clockwork Orange,1971,1972-09-07,"Crime, Drama, Sci-Fi",136,"UK, USA",English,Stanley Kubrick,"Stanley Kubrick, Anthony Burgess",Warner Bros.,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, John Clive, Adrienne Corri, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, Miriam Karlin, James Marcus, Aubrey Morris, Godfrey Quigley, Sheila Raynor","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",8.3,740301,$ 2200000,$ 26589355,$ 26903440,77.0,1569.0,184.0,2200000.0,26589355.0,26903440.0,24389355,24703440,Malcolm McDowell,Stanley Kubrick,Stanley Kubrick,Crime,English,UK,153
tt0069495,Ma papà ti manda sola?,"What's Up, Doc?",1972,1972-09-14,Comedy,94,USA,English,Peter Bogdanovich,"Buck Henry, David Newman",Warner Bros.,"Barbra Streisand, Ryan O'Neal, Madeline Kahn, Kenneth Mars, Austin Pendleton, Michael Murphy, Philip Roth, Sorrell Booke, Stefan Gierasch, Mabel Albertson, Liam Dunn, John Hillerman, George Morfogen, Graham Jarvis, Randy Quaid",The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.,7.7,19253,$ 4000000,$ 66000000,$ 66000000,,166.0,45.0,4000000.0,66000000.0,66000000.0,62000000,62000000,Barbra Streisand,Peter Bogdanovich,Buck Henry,Comedy,English,USA,177
tt0070047,L'esorcista,The Exorcist,1973,1974-09-20,Horror,122,USA,"English, Latin, Greek, French, German, Arabic, Kurdish",William Friedkin,"William Peter Blatty, William Peter Blatty",Warner Bros.,"Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn, Jack MacGowran, Jason Miller, Linda Blair, William O'Malley, Barton Heyman, Peter Masterson, Rudolf Schündler, Gina Petrushka, Robert Symonds, Arthur Storch, Thomas Bermingham","When a 12 year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",8.0,354234,$ 11000000,$ 232906145,$ 441306145,81.0,1226.0,209.0,11000000.0,232906145.0,441306145.0,221906145,430306145,Ellen Burstyn,William Friedkin,William Peter Blatty,Horror,English,USA,181
